hole_id,easting,northing,elevation_m,azimuth_deg,dip_deg,length_m,area,status
AXE-23-001,677400,5503115,1418,180.0,-65,732.0,West,Completed
AXE-23-002,677400,5503115,1418,0.0,-90,819.01,West,Completed
AXE-23-003,677400,5503115,1418,90.0,-45,367.0,West,Completed
AXE-23-004,677400,5503115,1418,90.0,-75,707.0,West,Completed
AXE-23-005,677400,5503115,1418,25.0,-50,87.35,West,Abandoned
AXE-23-006,677400,5503120,1418,15.0,-45,97.35,West,Abandoned
AXE-23-007,677400,5503120,1418,15.0,-50,459.0,West,Completed
AXE-23-008,677397,5502825,1398,350.0,-75,897.0,West,Completed
AXE-23-009,677397,5502825,1398,90.0,-85,83.0,West,Abandoned
AXE-23-010,677397,5502825,1398,90.0,-80,709.1,West,Completed
AXE-23-011,677397,5502930,1398,0.0,-90,1031.0,West,Completed
AXE-23-012,678515,5501650,1310,100.0,-68,849.0,South,Completed
AXE-23-013,678515,5501650,1335,305.0,-80,944.0,South,Completed
AXE-23-014,678515,5501650,1310,345.0,-57,1061.2,South,Completed
AXE-23-015,680135,5501665,1000,0.0,-90,253.0,1516,Ended
AXE-23-016,680135,5501665,1000,90.0,-80,782.0,1516,Completed
AXE-23-017,680135,5501665,1000,90.0,-50,600.0,1516,Completed
AXE-23-018,680135,5501665,1000,20.17,-51,938.0,1516,Completed
AXE-23-019,680139,5501677,995,145.35,-50,146.0,1516,Ended
AXE-23-020,680139,5501677,995,145.0,-60,129.0,1516,Ended
AXE-23-021,680344,5501891,1150,290.0,-75,183.0,1516,Ended
MPD-23-001,681435,5513816,1360,0.0,-90,995.0,Man,Completed
MPD-23-002,681435,5513816,1360,90.0,-70,924.0,Man,Completed
MPD-23-003,681435,5513816,1360,90.0,-80,1094.0,Man,Completed
MPD-23-004,681434,5513814,1360,272.0,-60,104.0,Man*,Abandoned
MPD-23-005,681434,5513814,1360,272.0,-65,825.0,Man*,Completed
MPD-23-006,681435,5513816,1360,272.0,-80,879.0,Man,Completed
MPD-23-007,681435,5513816,1360,342.6,-50,807.0,Man,Completed
MPD-23-008,681360,5513440,1364,90.0,-45,54.0,Beyer,Abandoned
MPD-23-009,681360,5513440,1364,90.0,-60,487.0,Beyer,Completed
MPD-23-010,681416,5513389,1387,343.0,-65,295.0,Beyer,Completed
MPD-23-011,681416,5513389,1387,333.0,-68,80.0,Beyer,Completed
MPD-23-012,681416,5513389,1387,333.0,-50,144.0,Beyer,Completed
